GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO7E001,AUO7E002,AUO7E003,AUO7E004,AUO7E005,AUO7E006,AUO7E007,AUO7E008,AUO7E009,AUO7E010,NAME_M,AUO7M001,AUO7M002,AUO7M003,AUO7M004,AUO7M005,AUO7M006,AUO7M007,AUO7M008,AUO7M009,AUO7M010
G0600750025701,2020-2024,CA,,,California,06,San Francisco County,075,,,025701,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025701,,,06075025701,"Census Tract 257.01, San Francisco County, California",4604,683,106,0,3235,0,379,201,88,113,"Census Tract 257.01, San Francisco County, California",929,219,66,14,875,14,227,102,78,70
G0600750025702,2020-2024,CA,,,California,06,San Francisco County,075,,,025702,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025702,,,06075025702,"Census Tract 257.02, San Francisco County, California",4545,874,45,0,2941,0,345,340,235,105,"Census Tract 257.02, San Francisco County, California",570,488,67,14,412,14,287,226,185,112
G0600750025800,2020-2024,CA,,,California,06,San Francisco County,075,,,025800,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025800,,,06075025800,"Census Tract 258, San Francisco County, California",1603,140,96,0,1201,0,11,155,96,59,"Census Tract 258, San Francisco County, California",374,72,81,14,369,14,17,97,92,48
G0600750025900,2020-2024,CA,,,California,06,San Francisco County,075,,,025900,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025900,,,06075025900,"Census Tract 259, San Francisco County, California",4034,783,112,0,2252,0,606,281,87,194,"Census Tract 259, San Francisco County, California",566,211,80,14,362,14,400,154,63,138
G0600750026001,2020-2024,CA,,,California,06,San Francisco County,075,,,026001,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026001,,,06075026001,"Census Tract 260.01, San Francisco County, California",5625,891,234,156,2607,11,1049,677,557,120,"Census Tract 260.01, San Francisco County, California",945,297,232,218,845,33,509,289,279,105
G0600750026002,2020-2024,CA,,,California,06,San Francisco County,075,,,026002,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026002,,,06075026002,"Census Tract 260.02, San Francisco County, California",3641,1074,183,40,1194,0,557,593,385,208,"Census Tract 260.02, San Francisco County, California",389,150,190,46,315,14,202,237,193,129
G0600750026003,2020-2024,CA,,,California,06,San Francisco County,075,,,026003,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026003,,,06075026003,"Census Tract 260.03, San Francisco County, California",4639,674,77,66,2057,0,1019,746,406,340,"Census Tract 260.03, San Francisco County, California",639,258,79,74,421,14,441,315,287,210
G0600750026004,2020-2024,CA,,,California,06,San Francisco County,075,,,026004,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026004,,,06075026004,"Census Tract 260.04, San Francisco County, California",3840,797,367,77,1570,52,422,555,403,152,"Census Tract 260.04, San Francisco County, California",421,261,369,89,340,71,174,304,283,105
G0600750026100,2020-2024,CA,,,California,06,San Francisco County,075,,,026100,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026100,,,06075026100,"Census Tract 261, San Francisco County, California",6811,538,0,118,4433,28,1129,565,368,197,"Census Tract 261, San Francisco County, California",906,166,19,162,819,45,452,281,218,175
G0600750026201,2020-2024,CA,,,California,06,San Francisco County,075,,,026201,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026201,,,06075026201,"Census Tract 262.01, San Francisco County, California",3856,366,8,0,2742,19,622,99,69,30,"Census Tract 262.01, San Francisco County, California",496,187,6,14,585,31,253,59,53,32
